fish,exp_path,condition,Gene_TNF,Gene_CORO1A,Gene_IL2RA,Gene_ACTB,Gene_CD69,Gene_IRF8,Gene_GZMB,Gene_CCR7,Gene_IFNG,Gene_GBP4,Gene_TNF_2,Gene_XP01,delta_z_l_TNF,delta_z_l_CORO1A,delta_z_l_IL2RA,delta_z_l_ACTB,delta_z_l_CD69,delta_z_l_IRF8,delta_z_l_GZMB,delta_z_l_CCR7,delta_z_l_IFNG,delta_z_l_GBP4,delta_z_l_TNF_2,delta_z_l_XP01,delta_z_r_TNF,delta_z_r_CORO1A,delta_z_r_IL2RA,delta_z_r_ACTB,delta_z_r_CD69,delta_z_r_IRF8,delta_z_r_GZMB,delta_z_r_CCR7,delta_z_r_IFNG,delta_z_r_GBP4,delta_z_r_TNF_2,delta_z_r_XP01,Gene_CD8,delta_z_l_CD8,delta_z_r_CD8,Gene_CORO1A_2,delta_z_l_CORO1A_2,delta_z_r_CORO1A_2,Gene_SDch0,Gene_SDch1,Gene_GZMB_2,delta_z_l_SDch0,delta_z_l_SDch1,delta_z_l_GZMB_2,delta_z_r_SDch0,delta_z_r_SDch1,delta_z_r_GZMB_2
1019,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,24.0,,,,,,,,,,,,13.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
1020,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,14.0,,,,,,,,,,,15.0,13.0,,,,,,,,,,,22.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
1021,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,18.0,,,,,,,,,,,14.0,15.0,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
1023,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,14.0,,,,,,,,,,,16.0,14.0,,,,,,,,,,,18.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
1024,2025-03-31_Proof-of-concept-Olga2/,1-NA,8.0,17.0,,,,,,,,,,,13.0,14.0,,,,,,,,,,,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
1025,2025-03-31_Proof-of-concept-Olga2/,1-NA,11.0,15.0,,,,,,,,,,,13.0,15.0,,,,,,,,,,,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
1026,2025-03-31_Proof-of-concept-Olga2/,1-NA,6.0,34.0,,,,,,,,,,,19.0,13.0,,,,,,,,,,,12.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
1027,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,19.0,,,,,,,,,,,,13.0,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
1028,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,12.0,,,,,,,,,,,16.0,13.0,,,,,,,,,,,15.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
1029,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,18.0,,,,,,,,,,,17.0,13.0,,,,,,,,,,,16.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
1030,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,23.0,,,,,,,,,,,17.0,13.0,,,,,,,,,,,18.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
1031,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,22.0,,,,,,,,,,,25.0,13.0,,,,,,,,,,,14.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1032,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,17.0,,,,,,,,,,,18.0,13.0,,,,,,,,,,,16.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
1033,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,20.0,,,,,,,,,,,,13.0,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1034,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,27.0,,,,,,,,,,,16.0,13.0,,,,,,,,,,,23.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
1036,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,15.0,,,,,,,,,,,18.0,13.0,,,,,,,,,,,12.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
1037,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,15.0,,,,,,,,,,,22.0,13.0,,,,,,,,,,,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
1038,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,29.0,,,,,,,,,,,19.0,13.0,,,,,,,,,,,10.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
1039,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,12.0,,,,,,,,,,,,13.0,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
1040,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,18.0,,,,,,,,,,,26.0,15.0,,,,,,,,,,,13.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
1041,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,20.0,,,,,,,,,,,17.0,15.0,,,,,,,,,,,22.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
1042,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,18.0,,,,,,,,,,,,14.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
1043,2025-03-31_Proof-of-concept-Olga2/,1-NA,5.0,15.0,,,,,,,,,,,17.0,13.0,,,,,,,,,,,19.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
1044,2025-03-31_Proof-of-concept-Olga2/,1-NA,10.0,9.0,,,,,,,,,,,16.0,16.0,,,,,,,,,,,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
1045,2025-03-31_Proof-of-concept-Olga2/,1-NA,4.0,15.0,,,,,,,,,,,15.0,13.0,,,,,,,,,,,21.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
1046,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,15.0,,,,,,,,,,,,13.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
1047,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,17.0,,,,,,,,,,,,13.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
1048,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,18.0,,,,,,,,,,,,13.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
1049,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,35.0,,,,,,,,,,,16.0,13.0,,,,,,,,,,,23.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
1051,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,14.0,,,,,,,,,,,17.0,14.0,,,,,,,,,,,16.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1052,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,24.0,,,,,,,,,,,,14.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
1054,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,22.0,,,,,,,,,,,16.0,13.0,,,,,,,,,,,20.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,
1055,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,16.0,,,,,,,,,,,15.0,13.0,,,,,,,,,,,22.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
1056,2025-03-31_Proof-of-concept-Olga2/,1-NA,9.0,18.0,,,,,,,,,,,16.0,14.0,,,,,,,,,,,15.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
1057,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,16.0,,,,,,,,,,,23.0,13.0,,,,,,,,,,,16.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
1058,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,13.0,,,,,,,,,,,19.0,14.0,,,,,,,,,,,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1059,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,18.0,,,,,,,,,,,,13.0,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
1060,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,12.0,,,,,,,,,,,,15.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
1061,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,18.0,,,,,,,,,,,,14.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
1062,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,23.0,,,,,,,,,,,13.0,12.0,,,,,,,,,,,26.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
1063,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,20.0,,,,,,,,,,,17.0,13.0,,,,,,,,,,,19.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
1064,2025-03-31_Proof-of-concept-Olga2/,1-NA,6.0,17.0,,,,,,,,,,,15.0,13.0,,,,,,,,,,,17.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
1065,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,27.0,,,,,,,,,,,14.0,13.0,,,,,,,,,,,25.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
1066,2025-03-31_Proof-of-concept-Olga2/,1-NA,5.0,22.0,,,,,,,,,,,17.0,13.0,,,,,,,,,,,9.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
1068,2025-03-31_Proof-of-concept-Olga2/,1-NA,4.0,23.0,,,,,,,,,,,15.0,13.0,,,,,,,,,,,16.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
1069,2025-03-31_Proof-of-concept-Olga2/,1-NA,8.0,22.0,,,,,,,,,,,15.0,13.0,,,,,,,,,,,20.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
1070,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,16.0,,,,,,,,,,,14.0,13.0,,,,,,,,,,,19.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
1071,2025-03-31_Proof-of-concept-Olga2/,1-NA,6.0,18.0,,,,,,,,,,,18.0,13.0,,,,,,,,,,,15.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
1072,2025-03-31_Proof-of-concept-Olga2/,1-NA,10.0,39.0,,,,,,,,,,,15.0,13.0,,,,,,,,,,,17.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,
1073,2025-03-31_Proof-of-concept-Olga2/,1-NA,4.0,21.0,,,,,,,,,,,15.0,13.0,,,,,,,,,,,13.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
1074,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,21.0,,,,,,,,,,,16.0,13.0,,,,,,,,,,,23.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,
1075,2025-03-31_Proof-of-concept-Olga2/,1-NA,5.0,11.0,,,,,,,,,,,14.0,13.0,,,,,,,,,,,11.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,
1076,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,15.0,,,,,,,,,,,21.0,14.0,,,,,,,,,,,18.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1077,2025-03-31_Proof-of-concept-Olga2/,1-NA,5.0,23.0,,,,,,,,,,,15.0,13.0,,,,,,,,,,,12.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
1078,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,22.0,,,,,,,,,,,19.0,13.0,,,,,,,,,,,18.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
1079,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,10.0,,,,,,,,,,,16.0,14.0,,,,,,,,,,,23.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
1080,2025-03-31_Proof-of-concept-Olga2/,1-NA,17.0,11.0,,,,,,,,,,,14.0,16.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1081,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,13.0,,,,,,,,,,,25.0,13.0,,,,,,,,,,,12.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
1082,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,19.0,,,,,,,,,,,19.0,13.0,,,,,,,,,,,20.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
1083,2025-03-31_Proof-of-concept-Olga2/,1-NA,7.0,26.0,,,,,,,,,,,16.0,13.0,,,,,,,,,,,11.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
1084,2025-03-31_Proof-of-concept-Olga2/,1-NA,39.0,15.0,,,,,,,,,,,14.0,14.0,,,,,,,,,,,11.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,
1085,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,19.0,,,,,,,,,,,16.0,14.0,,,,,,,,,,,21.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
1087,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,18.0,,,,,,,,,,,18.0,13.0,,,,,,,,,,,19.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,
1089,2025-03-31_Proof-of-concept-Olga2/,1-NA,45.0,38.0,,,,,,,,,,,14.0,14.0,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1090,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,26.0,,,,,,,,,,,16.0,13.0,,,,,,,,,,,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1091,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,8.0,,,,,,,,,,,,14.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
1092,2025-03-31_Proof-of-concept-Olga2/,1-NA,4.0,13.0,,,,,,,,,,,16.0,13.0,,,,,,,,,,,20.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
1093,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,16.0,,,,,,,,,,,21.0,14.0,,,,,,,,,,,18.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
1094,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,17.0,,,,,,,,,,,13.0,13.0,,,,,,,,,,,18.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,
1095,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,14.0,,,,,,,,,,,21.0,13.0,,,,,,,,,,,13.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1096,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,18.0,,,,,,,,,,,19.0,13.0,,,,,,,,,,,20.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
1097,2025-03-31_Proof-of-concept-Olga2/,1-NA,15.0,20.0,,,,,,,,,,,18.0,13.0,,,,,,,,,,,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
1098,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,18.0,,,,,,,,,,,,14.0,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
1099,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,14.0,,,,,,,,,,,24.0,14.0,,,,,,,,,,,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1100,2025-03-31_Proof-of-concept-Olga2/,1-NA,4.0,18.0,,,,,,,,,,,16.0,13.0,,,,,,,,,,,19.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,
1101,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,13.0,,,,,,,,,,,22.0,14.0,,,,,,,,,,,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,
1102,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,1.0,,,,,,,,,,,15.0,13.0,,,,,,,,,,,24.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,
1104,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,1.0,,,,,,,,,,,20.0,29.0,,,,,,,,,,,19.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1105,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,15.0,,,,,,,,,,,19.0,13.0,,,,,,,,,,,20.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,22.0,,,,,,,,,,,18.0,14.0,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,19.0,,,,,,,,,,,,14.0,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
2003,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,20.0,,,,,,,,,,,,14.0,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
2004,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,23.0,,,,,,,,,,,31.0,14.0,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,0.0,,,,,,,,,,,23.0,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,12.0,,,,,,,,,,,16.0,14.0,,,,,,,,,,,23.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
2007,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,20.0,,,,,,,,,,,19.0,14.0,,,,,,,,,,,15.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
2008,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,13.0,,,,,,,,,,,15.0,14.0,,,,,,,,,,,24.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2009,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,22.0,,,,,,,,,,,20.0,13.0,,,,,,,,,,,17.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,15.0,,,,,,,,,,,16.0,14.0,,,,,,,,,,,13.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2011,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,10.0,,,,,,,,,,,,14.0,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,22.0,,,,,,,,,,,14.0,13.0,,,,,,,,,,,25.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013,2025-03-31_Proof-of-concept-Olga2/,1-NA,11.0,14.0,,,,,,,,,,,14.0,14.0,,,,,,,,,,,12.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,7.0,,,,,,,,,,,21.0,16.0,,,,,,,,,,,12.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,7.0,,,,,,,,,,,23.0,20.0,,,,,,,,,,,16.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,20.0,,,,,,,,,,,,13.0,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,16.0,,,,,,,,,,,17.0,13.0,,,,,,,,,,,22.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,11.0,,,,,,,,,,,13.0,14.0,,,,,,,,,,,19.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2025-03-31_Proof-of-concept-Olga2/,1-NA,4.0,17.0,,,,,,,,,,,16.0,13.0,,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,20.0,,,,,,,,,,,14.0,13.0,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,22.0,,,,,,,,,,,14.0,13.0,,,,,,,,,,,18.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2025-03-31_Proof-of-concept-Olga2/,1-NA,4.0,21.0,,,,,,,,,,,20.0,13.0,,,,,,,,,,,17.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025,2025-03-31_Proof-of-concept-Olga2/,1-NA,7.0,33.0,,,,,,,,,,,15.0,13.0,,,,,,,,,,,15.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,21.0,,,,,,,,,,,16.0,13.0,,,,,,,,,,,20.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
2027,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,19.0,,,,,,,,,,,22.0,13.0,,,,,,,,,,,17.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
2028,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,14.0,,,,,,,,,,,17.0,15.0,,,,,,,,,,,22.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
2030,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,17.0,,,,,,,,,,,15.0,14.0,,,,,,,,,,,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2031,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,14.0,,,,,,,,,,,17.0,14.0,,,,,,,,,,,14.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
2032,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,28.0,,,,,,,,,,,15.0,14.0,,,,,,,,,,,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
2033,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,30.0,,,,,,,,,,,22.0,13.0,,,,,,,,,,,17.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
2035,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,12.0,,,,,,,,,,,17.0,14.0,,,,,,,,,,,22.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2036,2025-03-31_Proof-of-concept-Olga2/,1-NA,4.0,11.0,,,,,,,,,,,15.0,13.0,,,,,,,,,,,19.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
2037,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,13.0,,,,,,,,,,,16.0,13.0,,,,,,,,,,,19.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
2038,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,11.0,,,,,,,,,,,16.0,15.0,,,,,,,,,,,17.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
2039,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,12.0,,,,,,,,,,,14.0,14.0,,,,,,,,,,,24.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
2041,2025-03-31_Proof-of-concept-Olga2/,1-NA,4.0,21.0,,,,,,,,,,,14.0,13.0,,,,,,,,,,,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2042,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,15.0,,,,,,,,,,,13.0,13.0,,,,,,,,,,,15.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
2043,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,31.0,,,,,,,,,,,20.0,13.0,,,,,,,,,,,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2044,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,21.0,,,,,,,,,,,17.0,13.0,,,,,,,,,,,17.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
2045,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,18.0,,,,,,,,,,,16.0,13.0,,,,,,,,,,,14.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
2046,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,20.0,,,,,,,,,,,13.0,13.0,,,,,,,,,,,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,
2048,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,20.0,,,,,,,,,,,,13.0,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
2049,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,18.0,,,,,,,,,,,23.0,14.0,,,,,,,,,,,15.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
2050,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,11.0,,,,,,,,,,,18.0,14.0,,,,,,,,,,,16.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,
2051,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,20.0,,,,,,,,,,,19.0,13.0,,,,,,,,,,,17.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2052,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,14.0,,,,,,,,,,,18.0,14.0,,,,,,,,,,,19.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
2053,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,13.0,,,,,,,,,,,20.0,13.0,,,,,,,,,,,17.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
2054,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,16.0,,,,,,,,,,,,13.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2055,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,29.0,,,,,,,,,,,14.0,14.0,,,,,,,,,,,25.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2056,2025-03-31_Proof-of-concept-Olga2/,1-NA,3.0,24.0,,,,,,,,,,,18.0,14.0,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
2057,2025-03-31_Proof-of-concept-Olga2/,1-NA,5.0,24.0,,,,,,,,,,,14.0,13.0,,,,,,,,,,,14.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
2058,2025-03-31_Proof-of-concept-Olga2/,1-NA,1.0,15.0,,,,,,,,,,,17.0,14.0,,,,,,,,,,,22.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
2059,2025-03-31_Proof-of-concept-Olga2/,1-NA,0.0,15.0,,,,,,,,,,,,15.0,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
2060,2025-03-31_Proof-of-concept-Olga2/,1-NA,2.0,20.0,,,,,,,,,,,14.0,13.0,,,,,,,,,,,21.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
